DATE_E	TIME_E	LAT	LON	K	TIME_P	TIME_S
2013-04-02	15:10:18.30	53.289	108.621	8.8	15:10:27.54	15:10:34.56
2013-04-03	17:16:34.88	53.422	108.188	9.7	17:16:40.27	17:16:44.77
2013-04-04	06:20:24.19	53.136	108.145	8.5	06:20:29.87	06:20:34.11
2013-04-05	13:52:11.89	53.134	108.145	8.7	13:52:17.46	13:52:21.84
2013-04-06	00:29:27.60	53.078	107.478	8.5	00:29:32.84	00:29:36.94
2013-05-09	03:08:41.26	52.988	108.103	8.6	03:08:49.10	03:08:54.63
2013-06-12	13:49:54.58	53.167	108.136	8.6	13:50:00.30	13:50:04.76
2013-06-20	03:28:56.56	53.29	108.52	8.5	03:29:05.08	03:29:11.96
2013-07-09	04:01:17.59	53.142	108.148	8.7	04:01:22.92	04:01:27.06
2013-07-15	22:22:20.50	53.483	108.588	8.5	22:22:31.13	22:22:39.14
2013-07-20	04:11:27.66	53.001	107.788	9.1	04:11:32.89	04:11:37.17
2013-07-30	17:15:40.37	53.241	108.303	8.8	17:15:47.42	17:15:54.05
2013-08-11	06:14:21.63	52.824	107.508	10.3	06:14:31.32	06:14:38.29
2013-08-17	13:46:12.22	53.303	108.554	9.7	13:46:20.91	13:46:28.06
2013-09-05	21:24:58.54	53.533	108.221	9.9	21:25:06.46	21:25:12.41
2013-09-15	11:47:55.74	53.238	108.424	10	11:48:03.23	11:48:09.51
2013-09-23	02:01:30.66	53.076	107.503	8.5	02:01:35.87	02:01:39.99
2013-10-13	10:24:47.72	53.226	107.955	9.8	10:24:50.55	10:24:52.32
2013-10-14	05:47:14.43	53.162	107.973	8.6	05:47:18.03	05:47:21.20
2014-01-06	12:51:14.45	53.315	108.539	8.6	12:51:23.15	12:51:30.29
2014-01-09	06:25:28.85	53.175	107.99	10	06:25:32.37	06:25:35.39
2014-01-12	12:56:16.63	53.252	108.519	8.7	12:56:24.72	12:56:30.72
2014-01-31	07:40:07.06	53.537	108.319	9.7	07:40:14.69	07:40:20.55
2014-02-23	00:52:06.67	53.049	108.432	8.9	00:52:10.79	00:52:13.95
2014-03-14	09:39:52.81	53.03	108.097	8.7	09:39:59.66	09:40:05.11
2014-03-26	19:44:32.54	52.809	107.498	8.6	19:44:42.21	19:44:49.38
